,State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent
36,Oregon,8,Biden,2064386,793178,1168837,38.422,56.619
37,Pennsylvania,19,Trump,5604974,2760068,2631877,49.243,46.956
38,Rhode Island,4,Biden,500389,209948,267139,41.957,53.386
39,South Carolina,9,Trump,1992519,1131802,782288,56.803,39.261
40,South Dakota,3,Trump,367936,218644,133632,59.424,36.319
41,Tennessee,11,Trump,2773269,1646366,1001934,59.366,36.128
42,Texas,40,Trump,9929746,5058649,4480380,50.944,45.121
43,Utah,6,Trump,1228455,829753,347176,67.544,28.261
44,Vermont,3,Biden,314516,109710,190795,34.882,60.663
45,Virginia,13,Biden,3587666,1702140,1744557,47.444,48.627
46,Washington,12,Biden,3311780,1330891,1848106,40.187,55.804
47,West Virginia,4,Trump,701442,491239,181039,70.033,25.81
48,Wisconsin,10,Biden,2578431,1213963,1268948,47.081,49.214
49,Wyoming,3,Trump,219203,176237,33841,80.399,15.438
50,District of Columbia,3,Biden,399670,27526,358208,6.887,89.626
0,Alabama,9,Trump,1999416,1158771,767847,57.955,38.404
1,Alaska,3,Trump,298434,161606,125878,54.151,42.18
2,Arizona,11,Trump,2846783,1416625,1320981,49.762,46.403
3,Arkansas,6,Trump,1087122,742942,298230,68.34,27.433
4,California,54,Biden,13622091,4496126,8580637,33.006,62.991
5,Colorado,10,Biden,2528974,1050947,1378705,41.556,54.516
6,Connecticut,7,Biden,1421849,601475,765230,42.302,53.819
7,Delaware,3,Biden,461970,189075,253291,40.928,54.828
8,Florida,30,Trump,7812022,3976849,3541624,50.907,45.336
9,Georgia,16,Trump,4218462,2179506,1864174,51.666,44.191
10,Hawaii,4,Biden,520697,194826,307037,37.416,58.967
11,Idaho,4,Trump,733843,486303,215858,66.268,29.415
12,Illinois,19,Biden,4885638,2005250,2663078,41.044,54.508
13,Indiana,11,Trump,2606791,1554757,950984,59.643,36.481
14,Iowa,6,Trump,1385805,812147,515575,58.605,37.204
15,Kansas,6,Trump,1269885,733789,480713,57.784,37.855
16,Kentucky,8,Trump,1855568,1221635,555585,65.836,29.942
17,Louisiana,8,Trump,1771383,982955,720862,55.491,40.695
18,Maine,4,Trump,684268,327890,327319,47.918,47.835
19,Maryland,10,Biden,2639542,840054,1693762,31.826,64.169
20,Massachusetts,11,Biden,2893340,889142,1878871,30.731,64.938
21,Michigan,15,Biden,4635465,2199021,2254311,47.439,48.632
22,Minnesota,10,Biden,2603698,1203943,1297598,46.24,49.837
23,Mississippi,6,Trump,1257296,709613,496300,56.44,39.474
24,Missouri,10,Trump,2822958,1546736,1171460,54.791,41.498
25,Montana,4,Trump,490442,297398,173326,60.639,35.341
26,Nebraska,5,Trump,745585,430349,282479,57.72,37.887
27,Nevada,6,Trump,1148336,577774,526085,50.314,45.813
28,New Hampshire,4,Biden,642767,297004,319776,46.207,49.75
29,New Jersey,14,Trump,3520841,1687447,1684215,47.927,47.836
30,New Mexico,5,Biden,820436,356312,432447,43.43,52.709
31,New York,28,Biden,7113893,3043678,3790999,42.785,53.29
32,North Carolina,16,Trump,3664651,1872321,1638498,51.091,44.711
33,North Dakota,3,Trump,334805,223932,98072,66.884,29.292
34,Ohio,17,Trump,4708789,2421068,2116044,51.416,44.938
35,Oklahoma,7,Trump,1547977,1005932,477256,64.984,30.831
36,Oregon,8,Biden,2063427,792778,1168573,38.42,56.633
37,Pennsylvania,19,Trump,5605900,2759659,2633106,49.228,46.97
38,Rhode Island,4,Biden,500860,210926,266598,42.113,53.228
39,South Carolina,9,Trump,1991777,1132269,781427,56.847,39.233
40,South Dakota,3,Trump,367761,218346,133645,59.372,36.34
41,Tennessee,11,Trump,2772844,1645757,1002238,59.353,36.145
42,Texas,40,Trump,9929427,5062411,4477420,50.984,45.092
43,Utah,6,Trump,1228093,828023,348358,67.423,28.366
44,Vermont,3,Biden,314363,109175,191109,34.729,60.792
45,Virginia,13,Biden,3587480,1702765,1743661,47.464,48.604
46,Washington,12,Biden,3310730,1330588,1847190,40.19,55.794
47,West Virginia,4,Trump,701636,490654,181588,69.93,25.881
48,Wisconsin,10,Biden,2578744,1212048,1271345,47.001,49.301
49,Wyoming,3,Trump,218679,175562,34024,80.283,15.559
50,District of Columbia,3,Biden,399699,26897,358911,6.729,89.795
0,Alabama,9,Trump,1998475,1157126,768367,57.9,38.448
1,Alaska,3,Trump,297889,161681,125274,54.276,42.054
2,Arizona,11,Trump,2847625,1416809,1321254,49.754,46.398
3,Arkansas,6,Trump,1087518,742668,298406,68.29,27.439
4,California,54,Biden,13617381,4491717,8580062,32.985,63.008
5,Colorado,10,Biden,2529260,1051074,1379127,41.557,54.527
6,Connecticut,7,Biden,1422221,600722,765671,42.238,53.836
7,Delaware,3,Biden,462236,189301,253616,40.953,54.867
8,Florida,30,Trump,7813379,3977486,3541296,50.906,45.323
9,Georgia,16,Trump,4220475,2180620,1864757,51.668,44.184
10,Hawaii,4,Biden,521309,194574,307494,37.324,58.985
11,Idaho,4,Trump,733520,485424,216529,66.177,29.519
12,Illinois,19,Biden,4886326,2003031,2665818,40.993,54.557
13,Indiana,11,Trump,2606145,1554706,949878,59.655,36.448
14,Iowa,6,Trump,1384943,812326,514789,58.654,37.17
15,Kansas,6,Trump,1268988,734196,479363,57.857,37.775
16,Kentucky,8,Trump,1855975,1220822,556509,65.778,29.985
