State,count,unique,top,freq
Alabama,810,1,Trump,810
Alaska,810,1,Trump,810
Arizona,810,2,Trump,685
Arkansas,810,1,Trump,810
California,810,1,Biden,810
Colorado,810,1,Biden,810
Connecticut,810,1,Biden,810
Delaware,810,1,Biden,810
District of Columbia,810,1,Biden,810
Florida,810,2,Trump,767
Georgia,810,2,Trump,788
Hawaii,810,1,Biden,810
Idaho,810,1,Trump,810
Illinois,810,1,Biden,810
Indiana,810,1,Trump,810
Iowa,810,1,Trump,810
Kansas,810,1,Trump,810
Kentucky,810,1,Trump,810
Louisiana,810,1,Trump,810
Maine,810,2,Trump,488
Maryland,810,1,Biden,810
Massachusetts,810,1,Biden,810
Michigan,810,2,Trump,410
Minnesota,810,2,Biden,570
Mississippi,810,1,Trump,810
Missouri,810,1,Trump,810
Montana,810,1,Trump,810
Nebraska,810,1,Trump,810
Nevada,810,2,Trump,729
New Hampshire,810,2,Biden,570
New Jersey,810,2,Trump,489
New Mexico,810,2,Biden,791
New York,810,2,Biden,804
North Carolina,810,2,Trump,765
North Dakota,810,1,Trump,810
Ohio,810,2,Trump,792
Oklahoma,810,1,Trump,810
Oregon,810,1,Biden,810
Pennsylvania,810,2,Trump,630
Rhode Island,810,2,Biden,790
South Carolina,810,1,Trump,810
South Dakota,810,1,Trump,810
Tennessee,810,1,Trump,810
Texas,810,2,Trump,764
Utah,810,1,Trump,810
Vermont,810,1,Biden,810
Virginia,810,2,Trump,409
Washington,810,1,Biden,810
West Virginia,810,1,Trump,810
Wisconsin,810,2,Biden,485
Wyoming,810,1,Trump,810
